"art","slagvolumen","blodtryk"
"A",3.00397033188917,4.49992621365804
"A",1.84751254024128,6.21266944385202
"A",1.64953746865,8.43401601200467
"A",2.13981754618026,4.13029007751511
"A",0.932361222855265,5.79293837945344
"A",0.968585955025613,6.12965940995956
"A",-0.55356507127628,7.04089602820988
"A",0.91500522351346,5.54048906214617
"A",-0.255718996002888,9.0619932118661
"A",1.50237553453875,5.70026022820403
"B",1.58647141067177,6.58126130441112
"B",-0.373093934746166,7.47439711530009
"B",1.68004732528514,5.29825026646338
"B",4.86576837008949,4.27390487734454
"B",1.66352800351556,8.74178122466321
"B",5.81872797397259,2.26091270141332
"B",1.3507502228773,7.31108384251452
"B",2.13917805994155,5.97669233687836
"B",1.38069087983588,7.52359922933222
"B",0.761340187229571,6.60440011037911
"C",0.892654453482818,9.23036836957009
"C",6.03762731554595,4.0201721864774
"C",1.50990545162859,8.43685463960214
"C",3.09936185792875,9.0147759393539
"C",2.10346566679898,5.92781792140939
"C",2.85767710239676,2.03824338640909
"C",2.50651920339463,6.67560396010558
"C",4.49640751220378,4.97547677815082
"C",3.75428694806497,7.17428570853282
"C",4.62883012150668,6.37857824609143
